wnid,synset,gloss,safety
n09658921,Kichai,a member of a Caddo people formerly living in north central Texas,sensitive
n09640327,"Chaldean, Chaldaean, Chaldee",an inhabitant of ancient Chaldea,sensitive
n10710913,tiler,a worker who lays tile,sensitive
n09629246,sensualist,a person who enjoys sensuality,sensitive
n10524223,respecter,"a person who respects someone or something; usually used in the negative; ""X is no respecter of Y""",sensitive
n09724533,"New Zealander, Kiwi",a native or inhabitant of New Zealand,sensitive
n09707289,Lithuanian,a native or inhabitant of Lithuania,sensitive
n09911226,"charwoman, char, cleaning woman, cleaning lady, woman","a human female employed to do housework; ""the char will clean the carpet""; ""I have a woman who comes in four hours a day while I write""",sensitive
n10355306,neutralist,an advocate of neutrality in international affairs,sensitive
n09908769,prison chaplain,a chaplain in a prison,sensitive
n10676434,supermom,an informal term for a mother who can combine childcare and full-time employment,sensitive
n10494195,puritan,someone who adheres to strict religious principles; someone opposed to sensual pleasures,sensitive
n09672590,Yana,a member of an extinct North American Indian people who lived in northern California,sensitive
n09754217,"abbess, mother superior, prioress",the superior of a group of nuns,sensitive
n10188715,housekeeper,a servant who is employed to perform domestic task in a household,sensitive
n09846469,"Bedouin, Beduin",a member of a nomadic tribe of Arabs,sensitive
n09917593,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling","a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngster""",sensitive
n09720033,"Lapp, Lapplander, Sami, Saami, Same, Saame",a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer,sensitive
n10044682,ectomorph,a person with a thin body,sensitive
n09606009,"adventurer, venturer",a person who enjoys taking risks,sensitive
n09936825,colleen,an Irish girl,sensitive
n09701833,Englishwoman,a woman who is a native or inhabitant of England,sensitive
n10402709,part-timer,someone who works less than the customary or standard time,sensitive
n09958292,Anglican,a Protestant who is a follower of Anglicanism,sensitive
n09906293,"chambermaid, fille de chambre",a maid who is employed to clean and care for bedrooms (now primarily in hotels),sensitive
n10377021,old woman,a woman who is old,sensitive
n10359117,niqaabi,an observant Muslim woman who covers her face and hands when in public or in the presence of any man outside her immediate family,sensitive
n09779461,agony aunt,a newspaper columnist who answers questions and offers advice on personal problems to people who write in,sensitive
n10024937,Dominican,a native or inhabitant of the Dominican Republic,sensitive
n09750282,Papuan,a native or inhabitant of Papua New Guinea or New Guinea,sensitive
n10141732,granddaughter,a female grandchild,sensitive
n09804230,archaist,a person who archaizes,sensitive
n10078131,"fancier, enthusiast",a person having a strong liking for something,sensitive
n10108018,foundress,a woman founder,sensitive
n09719309,Kenyan,a native or inhabitant of Kenya,sensitive
n09537660,"messiah, christ",any expected deliverer,sensitive
n09695132,Tupi,a member of the South American Indian people living in Brazil and Paraguay,sensitive
n10633298,specifier,someone who draws up specifications giving details (as for obtaining a patent),sensitive
n10186068,horse trader,a hard bargainer,sensitive
n10300829,materialist,someone who thinks that nothing exists but physical matter,sensitive
n10475940,prior,the head of a religious order; in an abbey the prior is next below the abbot,sensitive
n10010632,devisee,someone to whom property (especially realty) is devised by will,sensitive
n09821831,"attendant, attender, tender",someone who waits on or tends to or attends to the needs of another,sensitive
n10492086,puerpera,a woman in childbirth or shortly thereafter,sensitive
n09729062,Muscovite,a resident of Moscow,sensitive
n10051975,"emigrant, emigre, emigree, outgoer",someone who leaves one country to settle in another,sensitive
n09705003,Oxonian,a native or resident of Oxford,sensitive
n09636339,"Black, Black person, blackamoor, Negro, Negroid",a person with dark skin who comes from Africa (or whose ancestors came from Africa),sensitive
n10055410,"enchantress, temptress, siren, Delilah, femme fatale",a woman who is considered to be dangerously seductive,sensitive
n10206506,ingenue,an artless innocent young girl (especially as portrayed on the stage),sensitive
n10565502,"scrutineer, canvasser",someone who examines votes at an election,sensitive
n10032987,dreamer,someone who is dreaming,sensitive
n09741816,Coloradan,a native or resident of Colorado,sensitive
n09699642,Dane,a native or inhabitant of Denmark,sensitive
n09725653,Omani,a native or inhabitant of Oman,sensitive
n10591811,shopaholic,"a compulsive shopper; ""shopaholics can never resist a bargain""",sensitive
n10804732,Young Turk,a member of one or more of the insurgent groups in Turkey in the late 19th century who rebelled against the absolutism of Ottoman rule,sensitive
n10112129,"monk, monastic",a male religious living in a cloister and devoting himself to contemplation and prayer and work,sensitive
n10472129,"primigravida, gravida I",(obstetrics) a woman who is pregnant for the first time,sensitive
n09733459,Syrian,a native or inhabitant of Syria,sensitive
n10473917,Prince of Wales,the male heir apparent of the British sovereign,sensitive
n09654079,Creek,any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma,sensitive
n10284965,malcontent,a person who is discontented or disgusted,sensitive
n09691604,Austrian,a native or inhabitant of Austria,sensitive
n10308275,"clansman, clanswoman, clan member",a member of a clan,sensitive
n09928136,"cleric, churchman, divine, ecclesiastic",a clergyman or other person in religious orders,sensitive
n10120330,"garbage man, garbageman, garbage collector, garbage carter, garbage hauler, refuse collector, dustman",someone employed to collect and dispose of refuse,sensitive
n09976024,crapshooter,a gambler who plays the game of craps,sensitive
n10420031,"petitioner, suppliant, supplicant, requester","one praying humbly for something; ""a suppliant for her favors""",sensitive
n09912907,Chechen,a native or inhabitant of Chechnya,sensitive
n09675922,"Gujarati, Gujerati",a member of the people of Gujarat,sensitive
n10417969,persona non grata,a diplomat who is unacceptable to the government to which he is sent,sensitive
n10665302,struggler,a person who struggles with difficulties or with great effort,sensitive
n09715303,Irishwoman,a woman who is a native or inhabitant of Ireland,sensitive
n10457444,postulator,someone who assumes or takes something for granted as the basis of an argument,sensitive
n10637483,split end,(football) an offensive end who lines up at a distance from the other linemen,sensitive
n09748101,East German,a native or inhabitant of the former republic of East Germany,sensitive
n09945223,communicant,a person entitled to receive Communion,sensitive
n10493835,"puppy, pup",an inexperienced young person,sensitive
n10081204,"Father, Padre",`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military,sensitive
n10507692,"rare bird, rara avis",a rare or unique person,sensitive
n10646780,"stammerer, stutterer",someone who speaks with involuntary pauses and repetitions,sensitive
n09865398,bond servant,someone bound to labor without wages,sensitive
n10524076,resident commissioner,the representative of Puerto Rico in the United States House of Representatives,sensitive
n09697986,Chilean,a native or inhabitant of Chile,sensitive
n09731343,Slovene,a native of Slovenia,sensitive
n09676884,Slav,any member of the people of eastern Europe or Asian Russia who speak a Slavonic language,sensitive
n09865162,"bondwoman, bondswoman, bondmaid",a female bound to serve without wages,sensitive
n09982525,cultist,a member of an unorthodox cult who generally lives outside of conventional society under the direction of a charismatic leader,sensitive
n10359659,NOC,an undercover agent who is given no official cover,sensitive
n10067011,"evangelist, revivalist, gospeler, gospeller",a preacher of the Christian gospel,sensitive
