wnid,synset,gloss,imageability score
n10067011,"evangelist, revivalist, gospeler, gospeller",a preacher of the Christian gospel,2.625
n10425946,philosopher,a wise person who is calm and rational; someone who lives a life of reason with equanimity,2.625
n10688811,tagger,"someone who appends or joins one thing to another; ""a theory that was simply added on by some anonymous tagger""",2.625
n10468750,"president, prexy",the head administrative officer of a college or university,2.625
n10335246,"mourner, griever, sorrower, lamenter",a person who is feeling grief (as grieving over someone who has died),2.625
n09872557,"brahman, brahmin","a member of the highest of the four Hindu varnas; ""originally all brahmans were priests""",2.625
n10004718,department head,the head of a department,2.625
n09946814,compere,British term for someone who introduces television acts or cabarets etc,2.625
n10655730,steward,the ship's officer who is in charge of provisions and dining arrangements,2.619047619
n10142537,Grand Inquisitor,director of the court of Inquisition (especially in Spain and Portugal),2.619047619
n10765587,waltzer,a dancer who waltzes,2.615384615
n10145902,great grandson,a son of your grandson or granddaughter,2.615384615
n10630188,"speaker, talker, utterer, verbalizer, verbaliser","someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); ""the speaker at commencement""; ""an utterer of useful maxims""",2.615384615
n10512859,recruiting-sergeant,a sergeant deputized to enlist recruits,2.615384615
n10369699,"obstetrician, accoucheur",a physician specializing in obstetrics,2.611111111
n10553235,"saunterer, stroller, ambler",someone who walks at a leisurely pace,2.607142857
n10253703,"legionnaire, legionary",a soldier who is a member of a legion (especially the French Foreign Legion),2.6
n09971839,courtier,an attendant at the court of a sovereign,2.6
n10588965,shepherd,a clergyman who watches over a group of people,2.6
n10094320,flagellant,a person who whips himself as a religious penance,2.6
n10095265,"flanker back, flanker",a back stationed wide of the scrimmage line; used as a pass receiver,2.6
n10288964,adonis,any handsome young man,2.6
n09847543,"beldam, beldame",a woman of advanced age,2.6
n09970402,countess,female equivalent of a count or earl,2.6
n10007684,designated hitter,a ballplayer who is designated to bat in place of the pitcher,2.6
n10643937,squire,young nobleman attendant on a knight,2.6
n10757050,visiting professor,a professor visiting another college or university to teach for a limited time,2.6
n09833441,bairn,a child: son or daughter,2.6
n09886540,"cadet, plebe",a military trainee (as at a military academy),2.6
n10681194,"survivor, subsister","one who lives through affliction; ""the survivors of the fire were taken to a hospital""",2.6
n10496489,"Pygmy, Pigmy",any member of various peoples having an average height of less than five feet,2.6
n10783539,winker,a person who winks,2.6
n09814488,assemblywoman,a woman assemblyman,2.6
n10375052,old boy,a vivacious elderly man,2.6
n10228468,justice of the peace,a local magistrate with limited powers,2.6
n10387196,right fielder,the person who plays right field,2.6
n10660883,"straight man, second banana",a performer who acts as stooge to a comedian,2.6
n10261211,life tenant,a tenant whose legal right to retain possession of buildings or lands lasts as long as they (or some other person) live,2.6
n10294020,margrave,the military governor of a frontier province in medieval Germany,2.6
n10208950,inspector general,a military officer responsible for investigations,2.6
n09842528,"bass, basso",an adult male singer with the lowest voice,2.6
n10279778,madame,title used for a married Frenchwoman,2.6
n10646032,stainer,a worker who stains (wood or fabric),2.6
n10708292,"thinker, creative thinker, mind","an important intellectual; ""the great minds of the 17th century""",2.6
n10246317,langlaufer,a cross-country skier,2.6
n10298202,masseur,a male massager,2.6
n10661732,"straw boss, assistant foreman",a member of a work gang who supervises the other workers,2.6
n10186774,"host, innkeeper, boniface",the owner or manager of an inn,2.6
n10562968,"scout, talent scout",someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports),2.6
n09822830,attorney general,the chief law officer of a country or state,2.6
n09928136,"cleric, churchman, divine, ecclesiastic",a clergyman or other person in religious orders,2.6
n09715427,Dubliner,a resident of Dublin,2.6
n09749386,Guinean,a native or inhabitant of Guinea,2.6
n10071332,"exile, expatriate, expat","a person who is voluntarily absent from home or country; ""American expatriates""",2.6
n10520286,"Renaissance man, generalist","a modern scholar who is in a position to acquire more than superficial knowledge about many different interests; ""a statistician has to be something of a generalist""",2.6
n10589666,ship-breaker,a contractor who buys old ships and breaks them up for scrap,2.6
n10145340,great grandchild,a child of your grandson or granddaughter,2.6
n09968259,"costumier, costumer, costume designer",someone who designs or supplies costumes (as for a play or masquerade),2.6
n10024025,dolichocephalic,an adult with a long narrow head,2.6
n10038119,dry nurse,a nurse who cares for but does not suckle an infant,2.6
n10397392,"papoose, pappoose",an American Indian infant,2.6
n10679503,Surgeon General,the senior medical officer in an Army or Navy,2.6
n09796809,anti,"a person who is opposed (to an action or policy or practice etc.); ""the antis smelled victory after a long battle""",2.6
n10504206,"radiologist, radiotherapist",a medical specialist who uses radioactive substances and X-rays in the treatment of disease,2.6
n09724785,Nigerian,a native or inhabitant of Nigeria,2.588235294
n09866817,"bootblack, shoeblack",a person who polishes shoes and boots,2.583333333
n10150940,"guest, invitee",a visitor to whom hospitality is extended,2.583333333
n10266328,"literate, literate person",a person who can read and write,2.571428571
n10478827,proctologist,a doctor specializing in diseases of the rectum and anus,2.571428571
n10354754,"neurosurgeon, brain surgeon",someone who does surgery on the nervous system (especially the brain),2.571428571
n09754217,"abbess, mother superior, prioress",the superior of a group of nuns,2.571428571
n10038409,duchess,the wife of a duke or a woman holding ducal title in her own right,2.571428571
n10432957,"pillar, mainstay","a prominent supporter; ""he is a pillar of the community""",2.571428571
n10331258,mortal enemy,an enemy who wants to kill you,2.571428571
n09776346,affiliate,a subordinate or subsidiary associate; a person who is affiliated with another or with an organization,2.571428571
n10196404,iceman,someone who cuts and delivers ice,2.571428571
n10667863,subcontractor,someone who enters into a subcontract with the primary contractor,2.571428571
n10284064,"maker, shaper",a person who makes things,2.571428571
n09776642,affluent,"an affluent person; a person who is financially well off; ""the so-called emerging affluents""",2.571428571
n10188957,housemate,someone who resides in the same house with you,2.571428571
n09844457,Bavarian,a native or an inhabitant of Bavaria,2.571428571
n10074249,ex-spouse,a person who was formerly a spouse,2.571428571
n10753182,"victualer, victualler",an innkeeper (especially British),2.555555556
n09638454,mulatto,an offspring of a black and a white parent,2.555555556
n10325774,"modeler, modeller",a person who creates models,2.555555556
n10262880,lilliputian,a very small person (resembling a Lilliputian),2.555555556
n10672371,Sufi,a Muslim who represents the mystical dimension of Islam; a Muslim who seeks direct experience of Allah; mainly in Iran,2.555555556
n10493922,purchasing agent,an agent who purchases goods or services for another,2.545454545
